name,code,link,source,color_hex,color_r,color_g,color_b
Made With Care,04A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04A-2|,clarkkensington,#dcc0c4,220,192,196
Destiny,04A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04A-3|,clarkkensington,#cbabb2,203,171,178
Kind Words,04A-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04A-4|,clarkkensington,#976970,151,105,112
Antique Finishes,04A-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04A-5|,clarkkensington,#7b4c4a,123,76,74
Pink Champagne,04B-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-1|,clarkkensington,#f1dde1,241,221,225
Sweetheart Rose,04B-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-2|,clarkkensington,#f3d0da,243,208,218
Posh Pink,04B-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-3|,clarkkensington,#edb4c3,237,180,195
Bright Sequins,04B-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-4|,clarkkensington,#cc7c91,204,124,145
Geranium Blooms,04B-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-5|,clarkkensington,#c06a81,192,106,129
Roasted Beet,04B-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-6|,clarkkensington,#a3606d,163,96,109
Autumn Apples,04B-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04B-7|,clarkkensington,#7f4043,127,64,67
