name,code,link,source,color_hex,color_r,color_g,color_b
pale jade,PPG1230-4,https://www.glidden.com/color/color-families/greens/pale-jade,glidden,#77c3b4,119,195,180
green balloon,PPG1228-4,https://www.glidden.com/color/color-families/greens/green-balloon,glidden,#80c4a9,128,196,169
heath green,PPG1226-4,https://www.glidden.com/color/color-families/greens/heath-green,glidden,#9acda9,154,205,169
bleached spruce,PPG1223-4,https://www.glidden.com/color/color-families/greens/bleached-spruce,glidden,#bad7ae,186,215,174
lettuce alone,PPG1222-4,https://www.glidden.com/color/color-families/greens/lettuce-alone,glidden,#cedda2,206,221,162
goody gumdrop,PPG1219-4,https://www.glidden.com/color/color-families/greens/goody-gumdrop,glidden,#ccd87a,204,216,122
force of nature,PPG1218-4,https://www.glidden.com/color/color-families/greens/force-of-nature,glidden,#d5ce69,213,206,105
got the giggles,PPG17-25,https://www.glidden.com/color/color-families/greens/got-the-giggles,glidden,#d5d16b,213,209,107
canary yellow,PPG1215-4,https://www.glidden.com/color/color-families/greens/canary-yellow,glidden,#efde75,239,222,117
grassroots,PPG11-03,https://www.glidden.com/color/color-families/greens/grassroots,glidden,#d8c475,216,196,117
citrus yellow,PPG1109-4,https://www.glidden.com/color/color-families/greens/citrus-yellow,glidden,#d7c275,215,194,117
serene scene,PPG1110-3,https://www.glidden.com/color/color-families/greens/serene-scene,glidden,#d2c880,210,200,128
secret safari,PPG1110-4,https://www.glidden.com/color/color-families/greens/secret-safari,glidden,#c6bb68,198,187,104
floral bouquet,PPG1117-4,https://www.glidden.com/color/color-families/greens/floral-bouquet,glidden,#bacb7c,186,203,124
dancing kite,PPG1119-4,https://www.glidden.com/color/color-families/greens/dancing-kite,glidden,#c8cc9e,200,204,158
in the dale,PPG11-10,https://www.glidden.com/color/color-families/greens/in-the-dale,glidden,#c8cda0,200,205,160
pistachio pudding,PPG1120-4,https://www.glidden.com/color/color-families/greens/pistachio-pudding,glidden,#c6d4ac,198,212,172
lime taffy,PPG1130-4,https://www.glidden.com/color/color-families/greens/lime-taffy,glidden,#bad1b5,186,209,181
french market,PPG1131-4,https://www.glidden.com/color/color-families/greens/french-market,glidden,#a2c7a3,162,199,163
grand gusto,PPG1132-4,https://www.glidden.com/color/color-families/greens/grand-gusto,glidden,#86bb9d,134,187,157
catnip,PPG1139-4,https://www.glidden.com/color/color-families/greens/catnip,glidden,#80aa95,128,170,149
key largo,PPG1140-4,https://www.glidden.com/color/color-families/greens/key-largo,glidden,#7fb6a4,127,182,164
silver leaf,PPG1133-4,https://www.glidden.com/color/color-families/greens/silver-leaf,glidden,#9db7a5,157,183,165
quaking grass,PPG1121-4,https://www.glidden.com/color/color-families/greens/quaking-grass,glidden,#bbc6a4,187,198,164
bahia grass,PPG1122-4,https://www.glidden.com/color/color-families/greens/bahia-grass,glidden,#b9bd97,185,189,151
jitterbug,PPG1118-4,https://www.glidden.com/color/color-families/greens/jitterbug,glidden,#bac08a,186,192,138
nettle,PPG1111-4,https://www.glidden.com/color/color-families/greens/nettle,glidden,#bbac7d,187,172,125
old times sake,PPG11-05,https://www.glidden.com/color/color-families/greens/old-times-sake,glidden,#b1a26a,177,162,106
beach dune,PPG1112-4,https://www.glidden.com/color/color-families/greens/beach-dune,glidden,#c6bb9c,198,187,156
cress green,PPG1114-4,https://www.glidden.com/color/color-families/greens/cress-green,glidden,#bcb58a,188,181,138
sage splendor,PPG1115-4,https://www.glidden.com/color/color-families/greens/sage-splendor,glidden,#c3c6a4,195,198,164
only olive,PPG1123-4,https://www.glidden.com/color/color-families/greens/only-olive,glidden,#cbccb5,203,204,181
side kick,PPG1126-4,https://www.glidden.com/color/color-families/greens/side-kick,glidden,#bfc3ae,191,195,174
coastal crush,PPG1129-4,https://www.glidden.com/color/color-families/greens/coastal-crush,glidden,#b4c0af,180,192,175
copenhagen,PPG1137-4,https://www.glidden.com/color/color-families/greens/copenhagen,glidden,#adc8c0,173,200,192
donnegal,PPG1138-4,https://www.glidden.com/color/color-families/greens/donnegal,glidden,#8caea3,140,174,163
dusty aqua,PPG10-29,https://www.glidden.com/color/color-families/greens/dusty-aqua,glidden,#a2b5ab,162,181,171
pine whisper,PPG1134-4,https://www.glidden.com/color/color-families/greens/pine-whisper,glidden,#b3c6b9,179,198,185
aquamarine dream,PPG1135-4,https://www.glidden.com/color/color-families/greens/aquamarine-dream,glidden,#b3c4ba,179,196,186
niagara mist,PPG10-30,https://www.glidden.com/color/color-families/greens/niagara-mist,glidden,#bcc8ba,188,200,186
balsam,PPG1128-4,https://www.glidden.com/color/color-families/greens/balsam,glidden,#bec4b7,190,196,183
light sage,PPG1124-4,https://www.glidden.com/color/color-families/greens/light-sage-1,glidden,#b2b9a5,178,185,165
gargoyle ,PPG1127-4,https://www.glidden.com/color/color-families/greens/gargoyle,glidden,#abb39e,171,179,158
light drizzle,PPG1033-4,https://www.glidden.com/color/color-families/neutrals/light-drizzle,glidden,#a7aea5,167,174,165
olive sprig,PPG1125-4,https://www.glidden.com/color/color-families/greens/olive-sprig,glidden,#acaf95,172,175,149
green gray mist,PPG1113-4,https://www.glidden.com/color/color-families/greens/green-gray-mist,glidden,#afa984,175,169,132
