name,code,link,source,color_hex,color_r,color_g,color_b
Clean Sweep,2007-10B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/clean-sweep-2007-10b,valspar,#c4b3a4,196,179,164
Turning Tables,V130-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/turning-tables-v130-3,valspar,#b5a69b,181,166,155
Savoury Beige,3002-10C,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/savoury-beige-3002-10c,valspar,#e4d6c3,228,214,195
Cavern,V133-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/cavern-v133-5,valspar,#98816e,152,129,110
Oatbran,6006-1B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/oatbran-6006-1b,valspar,#cec1ae,206,193,174
Crater,V135-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/crater-v135-6,valspar,#72624d,114,98,77
Woodland Stone,2007-9C,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/woodland-stone-2007-9c,valspar,#ae9886,174,152,134
Pine Peak,V146-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/pine-peak-v146-5,valspar,#776e56,119,110,86
Moose Mousse,3003-10A,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/moose-mousse-3003-10a,valspar,#c6af98,198,175,152
Fresh Roe,V087-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/fresh-roe-v087-6,valspar,#4d3c2a,77,60,42
Cabin Plank,2011-10,https://www.valspar.com/en/colors/browse-colors/lowes/brown/cabin-plank-2011-10,valspar,#543f36,84,63,54
Must Love Dogs,V086-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/must-love-dogs-v086-5,valspar,#946a42,148,106,66
Brown Velvet,1011-10,https://www.valspar.com/en/colors/browse-colors/lowes/brown/brown-velvet-1011-10,valspar,#433531,67,53,49
Fields of Glory,V092-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/fields-of-glory-v092-5,valspar,#a27740,162,119,64
Piano Brown,1004-9A,https://www.valspar.com/en/colors/browse-colors/lowes/brown/piano-brown-1004-9a,valspar,#5b413b,91,65,59
Brownie Scout,V084-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/brownie-scout-v084-5,valspar,#8b6a52,139,106,82
Fired Earth,6011-1,https://www.valspar.com/en/colors/browse-colors/lowes/brown/fired-earth-6011-1,valspar,#3a3530,58,53,48
Caramel Suede,V090-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/caramel-suede-v090-5,valspar,#956f3e,149,111,62
Swiss Chocolate,3010-10,https://www.valspar.com/en/colors/browse-colors/lowes/brown/swiss-chocolate-3010-10,valspar,#524237,82,66,55
Leather & Lace,V088-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/leather-lace-v088-6,valspar,#6f543a,111,84,58
Sumatra Blend,2008-9A,https://www.valspar.com/en/colors/browse-colors/lowes/brown/sumatra-blend-2008-9a,valspar,#6d5747,109,87,71
Florentine Dream,V093-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/florentine-dream-v093-6,valspar,#715830,113,88,48
Summer Sparrow,1002-9B,https://www.valspar.com/en/colors/browse-colors/lowes/brown/summer-sparrow-1002-9b,valspar,#7b685f,123,104,95
Valise,V086-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/valise-v086-6,valspar,#6d4925,109,73,37
Universal Umber,3003-9B,https://www.valspar.com/en/colors/browse-colors/lowes/brown/universal-umber-3003-9b,valspar,#9a7e65,154,126,101
Incognito,V084-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/incognito-v084-6,valspar,#604735,96,71,53
Village Lane,8004-17G,https://www.valspar.com/en/colors/browse-colors/lowes/brown/village-lane-8004-17g,valspar,#826340,130,99,64
Chocolate Bonbon,V082-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/chocolate-bonbon-v082-6,valspar,#6c442d,108,68,45
Chocolate Milk,8005-8E,https://www.valspar.com/en/colors/browse-colors/lowes/brown/chocolate-milk-8005-8e,valspar,#928070,146,128,112
Horsing Around,V089-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/horsing-around-v089-5,valspar,#966938,150,105,56
Rugged,3008-9C,https://www.valspar.com/en/colors/browse-colors/lowes/brown/rugged-3008-9c,valspar,#968066,150,128,102
Derby,V091-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/derby-v091-6,valspar,#7c5723,124,87,35
Dark Kettle Black,4011-2,https://www.valspar.com/en/colors/browse-colors/lowes/black/dark-kettle-black-4011-2,valspar,#292a2d,41,42,45
Tomcat,V114-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/tomcat-v114-3,valspar,#2f2f2f,47,47,47
Safari Brown,6009-1,https://www.valspar.com/en/colors/browse-colors/lowes/black/safari-brown-6009-1,valspar,#443f3e,68,63,62
Sooty Lashes,V113-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/sooty-lashes-v113-3,valspar,#454b4f,69,75,79
Caviar,8006-4G,https://www.valspar.com/en/colors/browse-colors/lowes/black/caviar-8006-4g,valspar,#3c3e3c,60,62,60
Black Heron,V120-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/black-heron-v120-3,valspar,#3a3c3d,58,60,61
Noir,4009-2,https://www.valspar.com/en/colors/browse-colors/lowes/black/noir-4009-2,valspar,#2e2e30,46,46,48
Caviar,V123-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/caviar-v123-3,valspar,#3c3e3c,60,62,60
Chimney Smoke,4010-1,https://www.valspar.com/en/colors/browse-colors/lowes/black/chimney-smoke-4010-1,valspar,#3a4044,58,64,68
Black Currant,V125-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/black-currant-v125-6,valspar,#3d3940,61,57,64
Hematite,4006-2C,https://www.valspar.com/en/colors/browse-colors/lowes/black/hematite-4006-2c,valspar,#484b50,72,75,80
Model T,V140-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/model-t-v140-6,valspar,#464c47,70,76,71
Very Black,5011-2,https://www.valspar.com/en/colors/browse-colors/lowes/black/very-black-5011-2,valspar,#2f3238,47,50,56
Japanese Seaweed,V143-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/japanese-seaweed-v143-6,valspar,#494e42,73,78,66
Muskeg Grey,4005-2C,https://www.valspar.com/en/colors/browse-colors/lowes/black/muskeg-grey-4005-2c,valspar,#46484a,70,72,74
Mountain Midnight,V139-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/mountain-midnight-v139-6,valspar,#344c52,52,76,82
Blindfold,4007-2C,https://www.valspar.com/en/colors/browse-colors/lowes/black/blindfold-4007-2c,valspar,#454a4c,69,74,76
Fait Accompli,V141-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/fait-accompli-v141-6,valspar,#1d3233,29,50,51
Nocturnal Green,5011-1,https://www.valspar.com/en/colors/browse-colors/lowes/black/nocturnal-green-5011-1,valspar,#2d3435,45,52,53
Soft Panther,V124-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/soft-panther-v124-6,valspar,#4d494c,77,73,76
Night View,4007-4C,https://www.valspar.com/en/colors/browse-colors/lowes/black/night-view-4007-4c,valspar,#3d4b54,61,75,84
