name,code,link,source,color_hex,color_r,color_g,color_b
Princess,1272,https://www.benjaminmoore.com/en-us/paint-colors/color/1272/princess,benjaminmoore,#c68691,198,134,145
Prom Dress,1273,https://www.benjaminmoore.com/en-us/paint-colors/color/1273/prom-dress,benjaminmoore,#ae6c75,174,108,117
Raspberry Glacé,CSP-430,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-430/raspberry-glace,benjaminmoore,#ab696e,171,105,110
Warm Earth,1274,https://www.benjaminmoore.com/en-us/paint-colors/color/1274/warm-earth,benjaminmoore,#914d4e,145,77,78
Paris Romance,1262,https://www.benjaminmoore.com/en-us/paint-colors/color/1262/paris-romance,benjaminmoore,#e0cacb,224,202,203
Kept Love Letters,CSP-425,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-425/kept-love-letters,benjaminmoore,#d6bbbb,214,187,187
Mauve Mist,1264,https://www.benjaminmoore.com/en-us/paint-colors/color/1264/mauve-mist,benjaminmoore,#be999a,190,153,154
Deep Mauve,1265,https://www.benjaminmoore.com/en-us/paint-colors/color/1265/deep-mauve,benjaminmoore,#996e6f,153,110,111
Love Affair,1266,https://www.benjaminmoore.com/en-us/paint-colors/color/1266/love-affair,benjaminmoore,#85595d,133,89,93
New London Burgundy,HC-61,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-61/new-london-burgundy,benjaminmoore,#754b4e,117,75,78
Townsend Harbor Brown,HC-64,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-64/townsend-harbor-brown,benjaminmoore,#634543,99,69,67
Paisley Pink,1261,https://www.benjaminmoore.com/en-us/paint-colors/color/1261/paisley-pink,benjaminmoore,#e8d7d5,232,215,213
Rose Lace,1254,https://www.benjaminmoore.com/en-us/paint-colors/color/1254/rose-lace,benjaminmoore,#e1c6c5,225,198,197
Victoriana,1263,https://www.benjaminmoore.com/en-us/paint-colors/color/1263/victoriana,benjaminmoore,#d2b4b3,210,180,179
Amaryllis,1256,https://www.benjaminmoore.com/en-us/paint-colors/color/1256/amaryllis,benjaminmoore,#c89896,200,152,150
Somerville Red,HC-62,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-62/somerville-red,benjaminmoore,#9a6d6b,154,109,107
Garrison Red,HC-66,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-66/garrison-red,benjaminmoore,#8c5956,140,89,86
Chestnut,2082-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-10/chestnut,benjaminmoore,#703e3c,112,62,60
Petunia Pink,1276,https://www.benjaminmoore.com/en-us/paint-colors/color/1276/petunia-pink,benjaminmoore,#ebc7c9,235,199,201
