,name,code,source,color_hex,color_r,color_g,color_b
155,May Flowers,1324,benjaminmoore,#fac6d1,250,198,209
156,Baby Girl,2004-50,benjaminmoore,#f5acbc,245,172,188
157,Pink Starburst,2004-40,benjaminmoore,#e47f90,228,127,144
158,Santa's Suit,1336,benjaminmoore,#bc4550,188,69,80
159,Umbria Red,1316,benjaminmoore,#a54048,165,64,72
160,Caliente,AF-290,benjaminmoore,#8a2728,138,39,40
161,Ribbon Pink,2087-60,benjaminmoore,#fad4db,250,212,219
162,Pure Pink,1325,benjaminmoore,#fab6c5,250,182,197
163,Bubble Bath,1326,benjaminmoore,#f7a2b4,247,162,180
164,Italiano Rose,2087-30,benjaminmoore,#d35361,211,83,97
165,Raspberry Pudding,2004-30,benjaminmoore,#ca4f5a,202,79,90
166,Rose Parade,2086-20,benjaminmoore,#c0324a,192,50,74
167,,,benjaminmoore,#b32735,179,39,53
168,Voile Pink,2000-70,benjaminmoore,#fce2e6,252,226,230
169,Light Chiffon Pink,2000-60,benjaminmoore,#ffcdd8,255,205,216
170,Strawberry Sorbet,2087-50,benjaminmoore,#f6b6c3,246,182,195
171,Autumn Red,2087-40,benjaminmoore,#eb8a99,235,138,153
172,Watermelon Red,2087-20,benjaminmoore,#c53d46,197,61,70
173,Neon Red,2087-10,benjaminmoore,#b82d33,184,45,51
174,Lyons Red,CC-68,benjaminmoore,#a63841,166,56,65
175,Elephant Pink,2087-70,benjaminmoore,#fae7e9,250,231,233
176,Confetti,1311,benjaminmoore,#f7b4be,247,180,190
177,Blush Tone,2000-50,benjaminmoore,#fdacbd,253,172,189
178,Strawberry Shortcake,2000-40,benjaminmoore,#f57f94,245,127,148
179,Poppy,1315,benjaminmoore,#bd3a42,189,58,66
180,Ladybug Red,1322,benjaminmoore,#b03e43,176,62,67
181,Heritage Red,HC-181,benjaminmoore,#990a14,153,10,20
182,Marshmallow Bunny,2001-70,benjaminmoore,#fee2e7,254,226,231
183,Country Pink,2001-60,benjaminmoore,#ffcdd8,255,205,216
184,Full Bloom,2001-50,benjaminmoore,#feacbd,254,172,189
185,Pink Popsicle,2001-40,benjaminmoore,#f57e92,245,126,146
186,Milano Red,1313,benjaminmoore,#d85c66,216,92,102
187,Currant Red,1323,benjaminmoore,#a03d41,160,61,65
188,Bonaparte,CC-64,benjaminmoore,#9f3e3e,159,62,62
189,Pleasing Pink,2003-70,benjaminmoore,#fde2e6,253,226,230
